

                          ..       3D analytic, continuous injection, 4 species chain decay               
                          ..       Sun, Peterson, Clement (1999) J. Cont. Hyd., Example 6.3               


                              X-Direction Node Coordinates    (m)

           1           2           3           4           5           6           7           8           9          10
           0.00        4.00        8.00       12.00       16.00       20.00       24.00       28.00       32.00       36.00



          11          12          13          14          15          16          17          18          19          20
          40.00       44.00       48.00       52.00       56.00       60.00       64.00       68.00       72.00       76.00



          21          22          23          24          25          26          27          28          29          30
          80.00       84.00       88.00       92.00       96.00      100.00      104.00      108.00      112.00      116.00



          31          32          33          34          35          36          37          38          39
         120.00      124.00      128.00      132.00      136.00      140.00      144.00      148.00      150.00




                              Y-Direction Node Coordinates   (m)

           1           2           3           4           5           6           7           8           9          10
          -5.00       -4.50       -3.50       -2.50       -1.50       -0.50        0.50        1.50        2.50        3.50



          11          12          13          14          15          16          17          18          19          20
           4.50        5.50        6.50        7.50        8.50        9.50       10.50       11.50       12.50       13.50



          21          22          23          24          25          26          27
          14.50       15.50       16.50       17.50       18.50       19.50       20.50




                              Z-Direction Node Coordinates   (m)

           1           2           3           4           5           6           7           8           9          10
          -5.00       -4.50       -3.50       -2.50       -1.50       -0.50        0.50        1.50        2.50        3.50



          11          12          13          14          15          16          17          18          19
           4.50        5.50        6.50        7.50        8.50        9.50       10.50       11.50       12.50




                                        *** Initial Conditions ***

                              Initial Fluid Head  (m) 


                    Areal Layers

                                                            K =  1

           1           2           3           4           5           6           7           8           9          10
 25       0.467       0.440       0.413       0.387       0.360       0.333       0.307       0.280       0.253       0.227
 24       0.467       0.440       0.413       0.387       0.360       0.333       0.307       0.280       0.253       0.227
 23       0.467       0.440       0.413       0.387       0.360       0.333       0.307       0.280       0.253       0.227
 22       0.467       0.440       0.413       0.387       0.360       0.333       0.307       0.280       0.253       0.227
 21       0.467       0.440       0.413       0.387       0.360       0.333       0.307       0.280       0.253       0.227
 20       0.467       0.440       0.413       0.387       0.360       0.333       0.307       0.280       0.253       0.227
 19       0.467       0.440       0.413       0.387       0.360       0.333       0.307       0.280       0.253       0.227
 18       0.467       0.440       0.413       0.387       0.360       0.333       0.307       0.280       0.253       0.227
 17       0.467       0.440       0.413       0.387       0.360       0.333       0.307       0.280       0.253       0.227
 16       0.467       0.440       0.413       0.387       0.360       0.333       0.307       0.280       0.253       0.227
 15       0.467       0.440       0.413       0.387       0.360       0.333       0.307       0.280       0.253       0.227
 14       0.467       0.440       0.413       0.387       0.360       0.333       0.307       0.280       0.253       0.227
 13       0.467       0.440       0.413       0.387       0.360       0.333       0.307       0.280       0.253       0.227
 12       0.467       0.440       0.413       0.387       0.360       0.333       0.307       0.280       0.253       0.227
 11       0.467       0.440       0.413       0.387       0.360       0.333       0.307       0.280       0.253       0.227
 10       0.467       0.440       0.413       0.387       0.360       0.333       0.307       0.280       0.253       0.227
  9       0.467       0.440       0.413       0.387       0.360       0.333       0.307       0.280       0.253       0.227
  8       0.467       0.440       0.413       0.387       0.360       0.333       0.307       0.280       0.253       0.227
