              x	              y	              z	           time	in	        Na(mol/kgw)	        Cl(mol/kgw)	
              0	              0	              0	              0	 1	   1.0000000000e-03	   1.0000000000e-03	
              1	              0	              0	              0	 1	   1.0999985051e-03	   1.0999985051e-03	
              2	              0	              0	              0	 1	   1.1999973424e-03	   1.1999973424e-03	
              3	              0	              0	              0	 1	   1.2999965119e-03	   1.2999965119e-03	
              4	              0	              0	              0	 1	   1.3999960136e-03	   1.3999960136e-03	
              5	              0	              0	              0	 1	   1.4999958475e-03	   1.4999958475e-03	
              6	              0	              0	              0	 1	   1.5999960136e-03	   1.5999960136e-03	
              7	              0	              0	              0	 1	   1.6999965119e-03	   1.6999965119e-03	
              8	              0	              0	              0	 1	   1.7999973424e-03	   1.7999973424e-03	
              9	              0	              0	              0	 1	   1.8999985051e-03	   1.8999985051e-03	
             10	              0	              0	              0	 1	   2.0000000000e-03	   2.0000000000e-03	
              0	              1	              0	              0	 1	   1.0000000000e-03	   1.0000000000e-03	
              1	              1	              0	              0	 1	   1.0999985051e-03	   1.0999985051e-03	
              2	              1	              0	              0	 1	   1.1999973424e-03	   1.1999973424e-03	
              3	              1	              0	              0	 1	   1.2999965119e-03	   1.2999965119e-03	
              4	              1	              0	              0	 1	   1.3999960136e-03	   1.3999960136e-03	
              5	              1	              0	              0	 1	   1.4999958475e-03	   1.4999958475e-03	
              6	              1	              0	              0	 1	   1.5999960136e-03	   1.5999960136e-03	
              7	              1	              0	              0	 1	   1.6999965119e-03	   1.6999965119e-03	
              8	              1	              0	              0	 1	   1.7999973424e-03	   1.7999973424e-03	
              9	              1	              0	              0	 1	   1.8999985051e-03	   1.8999985051e-03	
             10	              1	              0	              0	 1	   2.0000000000e-03	   2.0000000000e-03	
              0	              2	              0	              0	 1	   1.0000000000e-03	   1.0000000000e-03	
              1	              2	              0	              0	 1	   1.0999985051e-03	   1.0999985051e-03	
              2	              2	              0	              0	 1	   1.1999973424e-03	   1.1999973424e-03	
              3	              2	              0	              0	 1	   1.2999965119e-03	   1.2999965119e-03	
              4	              2	              0	              0	 1	   1.3999960136e-03	   1.3999960136e-03	
              5	              2	              0	              0	 1	   1.4999958475e-03	   1.4999958475e-03	
              6	              2	              0	              0	 1	   1.5999960136e-03	   1.5999960136e-03	
              7	              2	              0	              0	 1	   1.6999965119e-03	   1.6999965119e-03	
              8	              2	              0	              0	 1	   1.7999973424e-03	   1.7999973424e-03	
              9	              2	              0	              0	 1	   1.8999985051e-03	   1.8999985051e-03	
             10	              2	              0	              0	 1	   2.0000000000e-03	   2.0000000000e-03	
              0	              3	              0	              0	 1	   1.0000000000e-03	   1.0000000000e-03	
              1	              3	              0	              0	 1	   1.0999985051e-03	   1.0999985051e-03	
              2	              3	              0	              0	 1	   1.1999973424e-03	   1.1999973424e-03	
              3	              3	              0	              0	 1	   1.2999965119e-03	   1.2999965119e-03	
              4	              3	              0	              0	 1	   1.3999960136e-03	   1.3999960136e-03	
              5	              3	              0	              0	 1	   1.4999958475e-03	   1.4999958475e-03	
              6	              3	              0	              0	 1	   1.5999960136e-03	   1.5999960136e-03	
              7	              3	              0	              0	 1	   1.6999965119e-03	   1.6999965119e-03	
              8	              3	              0	              0	 1	   1.7999973424e-03	   1.7999973424e-03	
              9	              3	              0	              0	 1	   1.8999985051e-03	   1.8999985051e-03	
             10	              3	              0	              0	 1	   2.0000000000e-03	   2.0000000000e-03	
              0	              4	              0	              0	 1	   1.0000000000e-03	   1.0000000000e-03	
              1	              4	              0	              0	 1	   1.0999985051e-03	   1.0999985051e-03	
              2	              4	              0	              0	 1	   1.1999973424e-03	   1.1999973424e-03	
              3	              4	              0	              0	 1	   1.2999965119e-03	   1.2999965119e-03	
              4	              4	              0	              0	 1	   1.3999960136e-03	   1.3999960136e-03	
              5	              4	              0	              0	 1	   1.4999958475e-03	   1.4999958475e-03	
              6	              4	              0	              0	 1	   1.5999960136e-03	   1.5999960136e-03	
              7	              4	              0	              0	 1	   1.6999965119e-03	   1.6999965119e-03	
              8	              4	              0	              0	 1	   1.7999973424e-03	   1.7999973424e-03	
              9	              4	              0	              0	 1	   1.8999985051e-03	   1.8999985051e-03	
             10	              4	              0	              0	 1	   2.0000000000e-03	   2.0000000000e-03	
              0	              5	              0	              0	 1	   1.0000000000e-03	   1.0000000000e-03	
              1	              5	              0	              0	 1	   1.0999985051e-03	   1.0999985051e-03	
              2	              5	              0	              0	 1	   1.1999973424e-03	   1.1999973424e-03	
              3	              5	              0	              0	 1	   1.2999965119e-03	   1.2999965119e-03	
              4	              5	              0	              0	 1	   1.3999960136e-03	   1.3999960136e-03	
              5	              5	              0	              0	 1	   1.4999958475e-03	   1.4999958475e-03	
              6	              5	              0	              0	 1	   1.5999960136e-03	   1.5999960136e-03	
              7	              5	              0	              0	 1	   1.6999965119e-03	   1.6999965119e-03	
              8	              5	              0	              0	 1	   1.7999973424e-03	   1.7999973424e-03	
              9	              5	              0	              0	 1	   1.8999985051e-03	   1.8999985051e-03	
             10	              5	              0	              0	 1	   2.0000000000e-03	   2.0000000000e-03	
              0	              6	              0	              0	 1	   1.0000000000e-03	   1.0000000000e-03	
              1	              6	              0	              0	 1	   1.0999985051e-03	   1.0999985051e-03	
              2	              6	              0	              0	 1	   1.1999973424e-03	   1.1999973424e-03	
              3	              6	              0	              0	 1	   1.2999965119e-03	   1.2999965119e-03	
              4	              6	              0	              0	 1	   1.3999960136e-03	   1.3999960136e-03	
              5	              6	              0	              0	 1	   1.4999958475e-03	   1.4999958475e-03	
              6	              6	              0	              0	 1	   1.5999960136e-03	   1.5999960136e-03	
              7	              6	              0	              0	 1	   1.6999965119e-03	   1.6999965119e-03	
              8	              6	              0	              0	 1	   1.7999973424e-03	   1.7999973424e-03	
              9	              6	              0	              0	 1	   1.8999985051e-03	   1.8999985051e-03	
             10	              6	              0	              0	 1	   2.0000000000e-03	   2.0000000000e-03	
              0	              7	              0	              0	 1	   1.0000000000e-03	   1.0000000000e-03	
              1	              7	              0	              0	 1	   1.0999985051e-03	   1.0999985051e-03	
              2	              7	              0	              0	 1	   1.1999973424e-03	   1.1999973424e-03	
              3	              7	              0	              0	 1	   1.2999965119e-03	   1.2999965119e-03	
              4	              7	              0	              0	 1	   1.3999960136e-03	   1.3999960136e-03	
              5	              7	              0	              0	 1	   1.4999958475e-03	   1.4999958475e-03	
              6	              7	              0	              0	 1	   1.5999960136e-03	   1.5999960136e-03	
              7	              7	              0	              0	 1	   1.6999965119e-03	   1.6999965119e-03	
              8	              7	              0	              0	 1	   1.7999973424e-03	   1.7999973424e-03	
              9	              7	              0	              0	 1	   1.8999985051e-03	   1.8999985051e-03	
             10	              7	              0	              0	 1	   2.0000000000e-03	   2.0000000000e-03	
              0	              8	              0	              0	 1	   1.0000000000e-03	   1.0000000000e-03	
              1	              8	              0	              0	 1	   1.0999985051e-03	   1.0999985051e-03	
              2	              8	              0	              0	 1	   1.1999973424e-03	   1.1999973424e-03	
              3	              8	              0	              0	 1	   1.2999965119e-03	   1.2999965119e-03	
              4	              8	              0	              0	 1	   1.3999960136e-03	   1.3999960136e-03	
              5	              8	              0	              0	 1	   1.4999958475e-03	   1.4999958475e-03	
              6	              8	              0	              0	 1	   1.5999960136e-03	   1.5999960136e-03	
              7	              8	              0	              0	 1	   1.6999965119e-03	   1.6999965119e-03	
              8	              8	              0	              0	 1	   1.7999973424e-03	   1.7999973424e-03	
              9	              8	              0	              0	 1	   1.8999985051e-03	   1.8999985051e-03	
             10	              8	              0	              0	 1	   2.0000000000e-03	   2.0000000000e-03	
              0	              9	              0	              0	 1	   1.0000000000e-03	   1.0000000000e-03	
              1	              9	              0	              0	 1	   1.0999985051e-03	   1.0999985051e-03	
              2	              9	              0	              0	 1	   1.1999973424e-03	   1.1999973424e-03	
              3	              9	              0	              0	 1	   1.2999965119e-03	   1.2999965119e-03	
              4	              9	              0	              0	 1	   1.3999960136e-03	   1.3999960136e-03	
              5	              9	              0	              0	 1	   1.4999958475e-03	   1.4999958475e-03	
              6	              9	              0	              0	 1	   1.5999960136e-03	   1.5999960136e-03	
              7	              9	              0	              0	 1	   1.6999965119e-03	   1.6999965119e-03	
              8	              9	              0	              0	 1	   1.7999973424e-03	   1.7999973424e-03	
              9	              9	              0	              0	 1	   1.8999985051e-03	   1.8999985051e-03	
             10	              9	              0	              0	 1	   2.0000000000e-03	   2.0000000000e-03	
              0	             10	              0	              0	 1	   1.0000000000e-03	   1.0000000000e-03	
              1	             10	              0	              0	 1	   1.0999985051e-03	   1.0999985051e-03	
              2	             10	              0	              0	 1	   1.1999973424e-03	   1.1999973424e-03	
              3	             10	              0	              0	 1	   1.2999965119e-03	   1.2999965119e-03	
              4	             10	              0	              0	 1	   1.3999960136e-03	   1.3999960136e-03	
              5	             10	              0	              0	 1	   1.4999958475e-03	   1.4999958475e-03	
              6	             10	              0	              0	 1	   1.5999960136e-03	   1.5999960136e-03	
              7	             10	              0	              0	 1	   1.6999965119e-03	   1.6999965119e-03	
              8	             10	              0	              0	 1	   1.7999973424e-03	   1.7999973424e-03	
