              x	              y	              z	           time	in	 Pore_volume	          Na	          Cl	           K	          Ca	SolidCa,cell	FluidCa,cell	      exchCa	       totCa	          PV	    kg_water	
              0	              0	              0	            0.5	 1	  1.5000e+00	  2.9696e-06	  1.2000e+00	  5.8189e-06	  6.0000e-01	  5.5154e-07	  6.0168e-07	  5.5000e-04	  6.0000e-04	  2.5020e-02	  1.0000e+00	
              1	              0	              0	            0.5	 1	  1.5000e+00	  2.9696e-06	  1.2000e+00	  5.8189e-06	  6.0000e-01	  5.5154e-07	  6.0168e-07	  5.5000e-04	  6.0000e-04	  2.5020e-02	  1.0000e+00	
              0	              1	              0	            0.5	 1	  1.5000e+00	  2.9696e-06	  1.2000e+00	  5.8189e-06	  6.0000e-01	  5.5154e-07	  6.0168e-07	  5.5000e-04	  6.0000e-04	  2.5020e-02	  1.0000e+00	
              1	              1	              0	            0.5	 1	  1.5000e+00	  2.9696e-06	  1.2000e+00	  5.8189e-06	  6.0000e-01	  5.5154e-07	  6.0168e-07	  5.5000e-04	  6.0000e-04	  2.5020e-02	  1.0000e+00	
              0	              0	          0.002	            0.5	 1	  1.5000e+00	  5.6549e-06	  1.2000e+00	  1.1092e-05	  5.9999e-01	  1.1030e-06	  1.2033e-06	  5.5000e-04	  5.9999e-04	  5.0038e-02	  1.0000e+00	
              1	              0	          0.002	            0.5	 1	  1.5000e+00	  5.6549e-06	  1.2000e+00	  1.1092e-05	  5.9999e-01	  1.1030e-06	  1.2033e-06	  5.5000e-04	  5.9999e-04	  5.0038e-02	  1.0000e+00	
              0	              1	          0.002	            0.5	 1	  1.5000e+00	  5.6549e-06	  1.2000e+00	  1.1092e-05	  5.9999e-01	  1.1030e-06	  1.2033e-06	  5.5000e-04	  5.9999e-04	  5.0038e-02	  1.0000e+00	
              1	              1	          0.002	            0.5	 1	  1.5000e+00	  5.6549e-06	  1.2000e+00	  1.1092e-05	  5.9999e-01	  1.1030e-06	  1.2033e-06	  5.5000e-04	  5.9999e-04	  5.0038e-02	  1.0000e+00	
              0	              0	          0.004	            0.5	 1	  1.5000e+00	  9.9431e-06	  1.2000e+00	  1.9559e-05	  5.9999e-01	  1.1030e-06	  1.2032e-06	  5.5000e-04	  5.9999e-04	  5.0036e-02	  1.0000e+00	
              1	              0	          0.004	            0.5	 1	  1.5000e+00	  9.9431e-06	  1.2000e+00	  1.9559e-05	  5.9999e-01	  1.1030e-06	  1.2032e-06	  5.5000e-04	  5.9999e-04	  5.0036e-02	  1.0000e+00	
              0	              1	          0.004	            0.5	 1	  1.5000e+00	  9.9431e-06	  1.2000e+00	  1.9559e-05	  5.9999e-01	  1.1030e-06	  1.2032e-06	  5.5000e-04	  5.9999e-04	  5.0036e-02	  1.0000e+00	
              1	              1	          0.004	            0.5	 1	  1.5000e+00	  9.9431e-06	  1.2000e+00	  1.9559e-05	  5.9999e-01	  1.1030e-06	  1.2032e-06	  5.5000e-04	  5.9999e-04	  5.0036e-02	  1.0000e+00	
              0	              0	          0.006	            0.5	 1	  1.5000e+00	  1.6619e-05	  1.2000e+00	  3.2831e-05	  5.9998e-01	  1.1029e-06	  1.2032e-06	  5.5000e-04	  5.9998e-04	  5.0034e-02	  1.0000e+00	
              1	              0	          0.006	            0.5	 1	  1.5000e+00	  1.6619e-05	  1.2000e+00	  3.2831e-05	  5.9998e-01	  1.1029e-06	  1.2032e-06	  5.5000e-04	  5.9998e-04	  5.0034e-02	  1.0000e+00	
              0	              1	          0.006	            0.5	 1	  1.5000e+00	  1.6619e-05	  1.2000e+00	  3.2831e-05	  5.9998e-01	  1.1029e-06	  1.2032e-06	  5.5000e-04	  5.9998e-04	  5.0034e-02	  1.0000e+00	
              1	              1	          0.006	            0.5	 1	  1.5000e+00	  1.6619e-05	  1.2000e+00	  3.2831e-05	  5.9998e-01	  1.1029e-06	  1.2032e-06	  5.5000e-04	  5.9998e-04	  5.0034e-02	  1.0000e+00	
              0	              0	          0.008	            0.5	 1	  1.5000e+00	  2.6800e-05	  1.2000e+00	  5.3235e-05	  5.9996e-01	  1.1029e-06	  1.2031e-06	  5.5000e-04	  5.9996e-04	  5.0032e-02	  1.0000e+00	
              1	              0	          0.008	            0.5	 1	  1.5000e+00	  2.6800e-05	  1.2000e+00	  5.3235e-05	  5.9996e-01	  1.1029e-06	  1.2031e-06	  5.5000e-04	  5.9996e-04	  5.0032e-02	  1.0000e+00	
              0	              1	          0.008	            0.5	 1	  1.5000e+00	  2.6800e-05	  1.2000e+00	  5.3235e-05	  5.9996e-01	  1.1029e-06	  1.2031e-06	  5.5000e-04	  5.9996e-04	  5.0032e-02	  1.0000e+00	
              1	              1	          0.008	            0.5	 1	  1.5000e+00	  2.6800e-05	  1.2000e+00	  5.3235e-05	  5.9996e-01	  1.1029e-06	  1.2031e-06	  5.5000e-04	  5.9996e-04	  5.0032e-02	  1.0000e+00	
              0	              0	           0.01	            0.5	 1	  1.5000e+00	  4.2060e-05	  1.2000e+00	  8.4107e-05	  5.9994e-01	  1.1029e-06	  1.2030e-06	  5.5000e-04	  5.9994e-04	  5.0030e-02	  1.0000e+00	
              1	              0	           0.01	            0.5	 1	  1.5000e+00	  4.2060e-05	  1.2000e+00	  8.4107e-05	  5.9994e-01	  1.1029e-06	  1.2030e-06	  5.5000e-04	  5.9994e-04	  5.0030e-02	  1.0000e+00	
              0	              1	           0.01	            0.5	 1	  1.5000e+00	  4.2060e-05	  1.2000e+00	  8.4107e-05	  5.9994e-01	  1.1029e-06	  1.2030e-06	  5.5000e-04	  5.9994e-04	  5.0030e-02	  1.0000e+00	
              1	              1	           0.01	            0.5	 1	  1.5000e+00	  4.2060e-05	  1.2000e+00	  8.4107e-05	  5.9994e-01	  1.1029e-06	  1.2030e-06	  5.5000e-04	  5.9994e-04	  5.0030e-02	  1.0000e+00	
              0	              0	          0.012	            0.5	 1	  1.5000e+00	  6.4597e-05	  1.2000e+00	  1.3019e-04	  5.9990e-01	  1.1028e-06	  1.2029e-06	  5.4999e-04	  5.9990e-04	  5.0028e-02	  1.0000e+00	
              1	              0	          0.012	            0.5	 1	  1.5000e+00	  6.4597e-05	  1.2000e+00	  1.3019e-04	  5.9990e-01	  1.1028e-06	  1.2029e-06	  5.4999e-04	  5.9990e-04	  5.0028e-02	  1.0000e+00	
              0	              1	          0.012	            0.5	 1	  1.5000e+00	  6.4597e-05	  1.2000e+00	  1.3019e-04	  5.9990e-01	  1.1028e-06	  1.2029e-06	  5.4999e-04	  5.9990e-04	  5.0028e-02	  1.0000e+00	
              1	              1	          0.012	            0.5	 1	  1.5000e+00	  6.4597e-05	  1.2000e+00	  1.3019e-04	  5.9990e-01	  1.1028e-06	  1.2029e-06	  5.4999e-04	  5.9990e-04	  5.0028e-02	  1.0000e+00	
              0	              0	          0.014	            0.5	 1	  1.5000e+00	  9.7449e-05	  1.2000e+00	  1.9817e-04	  5.9985e-01	  1.1028e-06	  1.2027e-06	  5.4999e-04	  5.9985e-04	  5.0026e-02	  1.0000e+00	
              1	              0	          0.014	            0.5	 1	  1.5000e+00	  9.7449e-05	  1.2000e+00	  1.9817e-04	  5.9985e-01	  1.1028e-06	  1.2027e-06	  5.4999e-04	  5.9985e-04	  5.0026e-02	  1.0000e+00	
              0	              1	          0.014	            0.5	 1	  1.5000e+00	  9.7449e-05	  1.2000e+00	  1.9817e-04	  5.9985e-01	  1.1028e-06	  1.2027e-06	  5.4999e-04	  5.9985e-04	  5.0026e-02	  1.0000e+00	
              1	              1	          0.014	            0.5	 1	  1.5000e+00	  9.7449e-05	  1.2000e+00	  1.9817e-04	  5.9985e-01	  1.1028e-06	  1.2027e-06	  5.4999e-04	  5.9985e-04	  5.0026e-02	  1.0000e+00	
              0	              0	          0.016	            0.5	 1	  1.5000e+00	  1.4478e-04	  1.2000e+00	  2.9744e-04	  5.9978e-01	  1.1027e-06	  1.2025e-06	  5.4999e-04	  5.9978e-04	  5.0024e-02	  1.0000e+00	
              1	              0	          0.016	            0.5	 1	  1.5000e+00	  1.4478e-04	  1.2000e+00	  2.9744e-04	  5.9978e-01	  1.1027e-06	  1.2025e-06	  5.4999e-04	  5.9978e-04	  5.0024e-02	  1.0000e+00	
              0	              1	          0.016	            0.5	 1	  1.5000e+00	  1.4478e-04	  1.2000e+00	  2.9744e-04	  5.9978e-01	  1.1027e-06	  1.2025e-06	  5.4999e-04	  5.9978e-04	  5.0024e-02	  1.0000e+00	
              1	              1	          0.016	            0.5	 1	  1.5000e+00	  1.4478e-04	  1.2000e+00	  2.9744e-04	  5.9978e-01	  1.1027e-06	  1.2025e-06	  5.4999e-04	  5.9978e-04	  5.0024e-02	  1.0000e+00	
              0	              0	          0.018	            0.5	 1	  1.5000e+00	  2.1227e-04	  1.1999e+00	  4.4105e-04	  5.9967e-01	  1.1026e-06	  1.2023e-06	  5.4998e-04	  5.9967e-04	  5.0022e-02	  1.0000e+00	
              1	              0	          0.018	            0.5	 1	  1.5000e+00	  2.1227e-04	  1.1999e+00	  4.4105e-04	  5.9967e-01	  1.1026e-06	  1.2023e-06	  5.4998e-04	  5.9967e-04	  5.0022e-02	  1.0000e+00	
              0	              1	          0.018	            0.5	 1	  1.5000e+00	  2.1227e-04	  1.1999e+00	  4.4105e-04	  5.9967e-01	  1.1026e-06	  1.2023e-06	  5.4998e-04	  5.9967e-04	  5.0022e-02	  1.0000e+00	
              1	              1	          0.018	            0.5	 1	  1.5000e+00	  2.1227e-04	  1.1999e+00	  4.4105e-04	  5.9967e-01	  1.1026e-06	  1.2023e-06	  5.4998e-04	  5.9967e-04	  5.0022e-02	  1.0000e+00	
              0	              0	           0.02	            0.5	 1	  1.5000e+00	  3.0758e-04	  1.1999e+00	  6.4711e-04	  5.9952e-01	  1.1026e-06	  1.2019e-06	  5.4997e-04	  5.9952e-04	  5.0020e-02	  1.0000e+00	
              1	              0	           0.02	            0.5	 1	  1.5000e+00	  3.0758e-04	  1.1999e+00	  6.4711e-04	  5.9952e-01	  1.1026e-06	  1.2019e-06	  5.4997e-04	  5.9952e-04	  5.0020e-02	  1.0000e+00	
              0	              1	           0.02	            0.5	 1	  1.5000e+00	  3.0758e-04	  1.1999e+00	  6.4711e-04	  5.9952e-01	  1.1026e-06	  1.2019e-06	  5.4997e-04	  5.9952e-04	  5.0020e-02	  1.0000e+00	
              1	              1	           0.02	            0.5	 1	  1.5000e+00	  3.0758e-04	  1.1999e+00	  6.4711e-04	  5.9952e-01	  1.1026e-06	  1.2019e-06	  5.4997e-04	  5.9952e-04	  5.0020e-02	  1.0000e+00	
              0	              0	          0.022	            0.5	 1	  1.5000e+00	  4.4099e-04	  1.1999e+00	  9.4060e-04	  5.9931e-01	  1.1025e-06	  1.2014e-06	  5.4995e-04	  5.9931e-04	  5.0018e-02	  1.0000e+00	
              1	              0	          0.022	            0.5	 1	  1.5000e+00	  4.4099e-04	  1.1999e+00	  9.4060e-04	  5.9931e-01	  1.1025e-06	  1.2014e-06	  5.4995e-04	  5.9931e-04	  5.0018e-02	  1.0000e+00	
              0	              1	          0.022	            0.5	 1	  1.5000e+00	  4.4099e-04	  1.1999e+00	  9.4060e-04	  5.9931e-01	  1.1025e-06	  1.2014e-06	  5.4995e-04	  5.9931e-04	  5.0018e-02	  1.0000e+00	
              1	              1	          0.022	            0.5	 1	  1.5000e+00	  4.4099e-04	  1.1999e+00	  9.4060e-04	  5.9931e-01	  1.1025e-06	  1.2014e-06	  5.4995e-04	  5.9931e-04	  5.0018e-02	  1.0000e+00	
              0	              0	          0.024	            0.5	 1	  1.5000e+00	  6.2621e-04	  1.1998e+00	  1.3558e-03	  5.9901e-01	  1.1024e-06	  1.2008e-06	  5.4993e-04	  5.9901e-04	  5.0016e-02	  1.0000e+00	
              1	              0	          0.024	            0.5	 1	  1.5000e+00	  6.2621e-04	  1.1998e+00	  1.3558e-03	  5.9901e-01	  1.1024e-06	  1.2008e-06	  5.4993e-04	  5.9901e-04	  5.0016e-02	  1.0000e+00	
              0	              1	          0.024	            0.5	 1	  1.5000e+00	  6.2621e-04	  1.1998e+00	  1.3558e-03	  5.9901e-01	  1.1024e-06	  1.2008e-06	  5.4993e-04	  5.9901e-04	  5.0016e-02	  1.0000e+00	
              1	              1	          0.024	            0.5	 1	  1.5000e+00	  6.2621e-04	  1.1998e+00	  1.3558e-03	  5.9901e-01	  1.1024e-06	  1.2008e-06	  5.4993e-04	  5.9901e-04	  5.0016e-02	  1.0000e+00	
              0	              0	          0.026	            0.5	 1	  1.5000e+00	  8.8142e-04	  1.1997e+00	  1.9395e-03	  5.9859e-01	  1.1023e-06	  1.1999e-06	  5.4991e-04	  5.9859e-04	  5.0014e-02	  1.0000e+00	
              1	              0	          0.026	            0.5	 1	  1.5000e+00	  8.8142e-04	  1.1997e+00	  1.9395e-03	  5.9859e-01	  1.1023e-06	  1.1999e-06	  5.4991e-04	  5.9859e-04	  5.0014e-02	  1.0000e+00	
              0	              1	          0.026	            0.5	 1	  1.5000e+00	  8.8142e-04	  1.1997e+00	  1.9395e-03	  5.9859e-01	  1.1023e-06	  1.1999e-06	  5.4991e-04	  5.9859e-04	  5.0014e-02	  1.0000e+00	
              1	              1	          0.026	            0.5	 1	  1.5000e+00	  8.8142e-04	  1.1997e+00	  1.9395e-03	  5.9859e-01	  1.1023e-06	  1.1999e-06	  5.4991e-04	  5.9859e-04	  5.0014e-02	  1.0000e+00	
              0	              0	          0.028	            0.5	 1	  1.5000e+00	  1.2306e-03	  1.1996e+00	  2.7554e-03	  5.9801e-01	  1.1022e-06	  1.1987e-06	  5.4987e-04	  5.9801e-04	  5.0012e-02	  1.0000e+00	
              1	              0	          0.028	            0.5	 1	  1.5000e+00	  1.2306e-03	  1.1996e+00	  2.7554e-03	  5.9801e-01	  1.1022e-06	  1.1987e-06	  5.4987e-04	  5.9801e-04	  5.0012e-02	  1.0000e+00	
              0	              1	          0.028	            0.5	 1	  1.5000e+00	  1.2306e-03	  1.1996e+00	  2.7554e-03	  5.9801e-01	  1.1022e-06	  1.1987e-06	  5.4987e-04	  5.9801e-04	  5.0012e-02	  1.0000e+00	
              1	              1	          0.028	            0.5	 1	  1.5000e+00	  1.2306e-03	  1.1996e+00	  2.7554e-03	  5.9801e-01	  1.1022e-06	  1.1987e-06	  5.4987e-04	  5.9801e-04	  5.0012e-02	  1.0000e+00	
              0	              0	           0.03	            0.5	 1	  1.5000e+00	  1.7052e-03	  1.1995e+00	  3.8902e-03	  5.9720e-01	  1.1020e-06	  1.1970e-06	  5.4981e-04	  5.9720e-04	  5.0010e-02	  1.0000e+00	
              1	              0	           0.03	            0.5	 1	  1.5000e+00	  1.7052e-03	  1.1995e+00	  3.8902e-03	  5.9720e-01	  1.1020e-06	  1.1970e-06	  5.4981e-04	  5.9720e-04	  5.0010e-02	  1.0000e+00	
              0	              1	           0.03	            0.5	 1	  1.5000e+00	  1.7052e-03	  1.1995e+00	  3.8902e-03	  5.9720e-01	  1.1020e-06	  1.1970e-06	  5.4981e-04	  5.9720e-04	  5.0010e-02	  1.0000e+00	
              1	              1	           0.03	            0.5	 1	  1.5000e+00	  1.7052e-03	  1.1995e+00	  3.8902e-03	  5.9720e-01	  1.1020e-06	  1.1970e-06	  5.4981e-04	  5.9720e-04	  5.0010e-02	  1.0000e+00	
              0	              0	          0.032	            0.5	 1	  1.5000e+00	  2.3462e-03	  1.1993e+00	  5.4609e-03	  5.9610e-01	  1.1018e-06	  1.1948e-06	  5.4973e-04	  5.9610e-04	  5.0008e-02	  1.0000e+00	
              1	              0	          0.032	            0.5	 1	  1.5000e+00	  2.3462e-03	  1.1993e+00	  5.4609e-03	  5.9610e-01	  1.1018e-06	  1.1948e-06	  5.4973e-04	  5.9610e-04	  5.0008e-02	  1.0000e+00	
              0	              1	          0.032	            0.5	 1	  1.5000e+00	  2.3462e-03	  1.1993e+00	  5.4609e-03	  5.9610e-01	  1.1018e-06	  1.1948e-06	  5.4973e-04	  5.9610e-04	  5.0008e-02	  1.0000e+00	
              1	              1	          0.032	            0.5	 1	  1.5000e+00	  2.3462e-03	  1.1993e+00	  5.4609e-03	  5.9610e-01	  1.1018e-06	  1.1948e-06	  5.4973e-04	  5.9610e-04	  5.0008e-02	  1.0000e+00	
              0	              0	          0.034	            0.5	 1	  1.5000e+00	  3.2071e-03	  1.1991e+00	  7.6253e-03	  5.9458e-01	  1.1016e-06	  1.1917e-06	  5.4963e-04	  5.9458e-04	  5.0006e-02	  1.0000e+00	
              1	              0	          0.034	            0.5	 1	  1.5000e+00	  3.2071e-03	  1.1991e+00	  7.6253e-03	  5.9458e-01	  1.1016e-06	  1.1917e-06	  5.4963e-04	  5.9458e-04	  5.0006e-02	  1.0000e+00	
              0	              1	          0.034	            0.5	 1	  1.5000e+00	  3.2071e-03	  1.1991e+00	  7.6253e-03	  5.9458e-01	  1.1016e-06	  1.1917e-06	  5.4963e-04	  5.9458e-04	  5.0006e-02	  1.0000e+00	
              1	              1	          0.034	            0.5	 1	  1.5000e+00	  3.2071e-03	  1.1991e+00	  7.6253e-03	  5.9458e-01	  1.1016e-06	  1.1917e-06	  5.4963e-04	  5.9458e-04	  5.0006e-02	  1.0000e+00	
              0	              0	          0.036	            0.5	 1	  1.5000e+00	  4.3571e-03	  1.1988e+00	  1.0596e-02	  5.9252e-01	  1.1013e-06	  1.1875e-06	  5.4948e-04	  5.9252e-04	  5.0004e-02	  1.0000e+00	
              1	              0	          0.036	            0.5	 1	  1.5000e+00	  4.3571e-03	  1.1988e+00	  1.0596e-02	  5.9252e-01	  1.1013e-06	  1.1875e-06	  5.4948e-04	  5.9252e-04	  5.0004e-02	  1.0000e+00	
              0	              1	          0.036	            0.5	 1	  1.5000e+00	  4.3571e-03	  1.1988e+00	  1.0596e-02	  5.9252e-01	  1.1013e-06	  1.1875e-06	  5.4948e-04	  5.9252e-04	  5.0004e-02	  1.0000e+00	
              1	              1	          0.036	            0.5	 1	  1.5000e+00	  4.3571e-03	  1.1988e+00	  1.0596e-02	  5.9252e-01	  1.1013e-06	  1.1875e-06	  5.4948e-04	  5.9252e-04	  5.0004e-02	  1.0000e+00	
              0	              0	          0.038	            0.5	 1	  1.5000e+00	  5.8856e-03	  1.1985e+00	  1.4657e-02	  5.8973e-01	  1.1008e-06	  1.1819e-06	  5.4929e-04	  5.8973e-04	  5.0002e-02	  1.0000e+00	
              1	              0	          0.038	            0.5	 1	  1.5000e+00	  5.8856e-03	  1.1985e+00	  1.4657e-02	  5.8973e-01	  1.1008e-06	  1.1819e-06	  5.4929e-04	  5.8973e-04	  5.0002e-02	  1.0000e+00	
              0	              1	          0.038	            0.5	 1	  1.5000e+00	  5.8856e-03	  1.1985e+00	  1.4657e-02	  5.8973e-01	  1.1008e-06	  1.1819e-06	  5.4929e-04	  5.8973e-04	  5.0002e-02	  1.0000e+00	
              1	              1	          0.038	            0.5	 1	  1.5000e+00	  5.8856e-03	  1.1985e+00	  1.4657e-02	  5.8973e-01	  1.1008e-06	  1.1819e-06	  5.4929e-04	  5.8973e-04	  5.0002e-02	  1.0000e+00	
              0	              0	           0.04	            0.5	 1	  1.5000e+00	  7.9076e-03	  1.1980e+00	  2.0192e-02	  5.8595e-01	  1.1002e-06	  1.1742e-06	  5.4901e-04	  5.8595e-04	  5.0000e-02	  1.0000e+00	
              1	              0	           0.04	            0.5	 1	  1.5000e+00	  7.9076e-03	  1.1980e+00	  2.0192e-02	  5.8595e-01	  1.1002e-06	  1.1742e-06	  5.4901e-04	  5.8595e-04	  5.0000e-02	  1.0000e+00	
              0	              1	           0.04	            0.5	 1	  1.5000e+00	  7.9076e-03	  1.1980e+00	  2.0192e-02	  5.8595e-01	  1.1002e-06	  1.1742e-06	  5.4901e-04	  5.8595e-04	  5.0000e-02	  1.0000e+00	
              1	              1	           0.04	            0.5	 1	  1.5000e+00	  7.9076e-03	  1.1980e+00	  2.0192e-02	  5.8595e-01	  1.1002e-06	  1.1742e-06	  5.4901e-04	  5.8595e-04	  5.0000e-02	  1.0000e+00	
              0	              0	          0.042	            0.5	 1	  1.5000e+00	  1.0571e-02	  1.1974e+00	  2.7708e-02	  5.8086e-01	  1.0994e-06	  1.1640e-06	  5.4864e-04	  5.8086e-04	  4.9998e-02	  1.0000e+00	
              1	              0	          0.042	            0.5	 1	  1.5000e+00	  1.0571e-02	  1.1974e+00	  2.7708e-02	  5.8086e-01	  1.0994e-06	  1.1640e-06	  5.4864e-04	  5.8086e-04	  4.9998e-02	  1.0000e+00	
              0	              1	          0.042	            0.5	 1	  1.5000e+00	  1.0571e-02	  1.1974e+00	  2.7708e-02	  5.8086e-01	  1.0994e-06	  1.1640e-06	  5.4864e-04	  5.8086e-04	  4.9998e-02	  1.0000e+00	
              1	              1	          0.042	            0.5	 1	  1.5000e+00	  1.0571e-02	  1.1974e+00	  2.7708e-02	  5.8086e-01	  1.0994e-06	  1.1640e-06	  5.4864e-04	  5.8086e-04	  4.9998e-02	  1.0000e+00	
              0	              0	          0.044	            0.5	 1	  1.5000e+00	  1.4065e-02	  1.1967e+00	  3.7885e-02	  5.7403e-01	  1.0984e-06	  1.1503e-06	  5.4814e-04	  5.7403e-04	  4.9996e-02	  1.0000e+00	
              1	              0	          0.044	            0.5	 1	  1.5000e+00	  1.4065e-02	  1.1967e+00	  3.7885e-02	  5.7403e-01	  1.0984e-06	  1.1503e-06	  5.4814e-04	  5.7403e-04	  4.9996e-02	  1.0000e+00	
              0	              1	          0.044	            0.5	 1	  1.5000e+00	  1.4065e-02	  1.1967e+00	  3.7885e-02	  5.7403e-01	  1.0984e-06	  1.1503e-06	  5.4814e-04	  5.7403e-04	  4.9996e-02	  1.0000e+00	
              1	              1	          0.044	            0.5	 1	  1.5000e+00	  1.4065e-02	  1.1967e+00	  3.7885e-02	  5.7403e-01	  1.0984e-06	  1.1503e-06	  5.4814e-04	  5.7403e-04	  4.9996e-02	  1.0000e+00	
              0	              0	          0.046	            0.5	 1	  1.5000e+00	  1.8631e-02	  1.1958e+00	  5.1625e-02	  5.6487e-01	  1.0970e-06	  1.1319e-06	  5.4745e-04	  5.6487e-04	  4.9994e-02	  1.0000e+00	
              1	              0	          0.046	            0.5	 1	  1.5000e+00	  1.8631e-02	  1.1958e+00	  5.1625e-02	  5.6487e-01	  1.0970e-06	  1.1319e-06	  5.4745e-04	  5.6487e-04	  4.9994e-02	  1.0000e+00	
              0	              1	          0.046	            0.5	 1	  1.5000e+00	  1.8631e-02	  1.1958e+00	  5.1625e-02	  5.6487e-01	  1.0970e-06	  1.1319e-06	  5.4745e-04	  5.6487e-04	  4.9994e-02	  1.0000e+00	
              1	              1	          0.046	            0.5	 1	  1.5000e+00	  1.8631e-02	  1.1958e+00	  5.1625e-02	  5.6487e-01	  1.0970e-06	  1.1319e-06	  5.4745e-04	  5.6487e-04	  4.9994e-02	  1.0000e+00	
              0	              0	          0.048	            0.5	 1	  1.5000e+00	  2.4578e-02	  1.1947e+00	  7.0122e-02	  5.5265e-01	  1.0950e-06	  1.1073e-06	  5.4651e-04	  5.5265e-04	  4.9992e-02	  1.0000e+00	
              1	              0	          0.048	            0.5	 1	  1.5000e+00	  2.4578e-02	  1.1947e+00	  7.0122e-02	  5.5265e-01	  1.0950e-06	  1.1073e-06	  5.4651e-04	  5.5265e-04	  4.9992e-02	  1.0000e+00	
              0	              1	          0.048	            0.5	 1	  1.5000e+00	  2.4578e-02	  1.1947e+00	  7.0122e-02	  5.5265e-01	  1.0950e-06	  1.1073e-06	  5.4651e-04	  5.5265e-04	  4.9992e-02	  1.0000e+00	
              1	              1	          0.048	            0.5	 1	  1.5000e+00	  2.4578e-02	  1.1947e+00	  7.0122e-02	  5.5265e-01	  1.0950e-06	  1.1073e-06	  5.4651e-04	  5.5265e-04	  4.9992e-02	  1.0000e+00	
              0	              0	           0.05	            0.5	 1	  1.5000e+00	  3.2300e-02	  1.1933e+00	  9.4953e-02	  5.3637e-01	  1.0924e-06	  1.0747e-06	  5.4522e-04	  5.3637e-04	  4.9990e-02	  1.0000e+00	
              1	              0	           0.05	            0.5	 1	  1.5000e+00	  3.2300e-02	  1.1933e+00	  9.4953e-02	  5.3637e-01	  1.0924e-06	  1.0747e-06	  5.4522e-04	  5.3637e-04	  4.9990e-02	  1.0000e+00	
              0	              1	           0.05	            0.5	 1	  1.5000e+00	  3.2300e-02	  1.1933e+00	  9.4953e-02	  5.3637e-01	  1.0924e-06	  1.0747e-06	  5.4522e-04	  5.3637e-04	  4.9990e-02	  1.0000e+00	
              1	              1	           0.05	            0.5	 1	  1.5000e+00	  3.2300e-02	  1.1933e+00	  9.4953e-02	  5.3637e-01	  1.0924e-06	  1.0747e-06	  5.4522e-04	  5.3637e-04	  4.9990e-02	  1.0000e+00	
